Date,Time,Software,Action,Version,ID,Denial Message
not_provided,11:54:24,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,11:54:24,(ARCGIS),IN:,"VBA",mpatel1@SGH227R9P6,
not_provided,11:54:58,(ARCGIS),IN:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:54:58,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:55:25,(ARCGIS),IN:,"VBA",rvrooyen@SGH227R9PD,
not_provided,11:55:25,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:55:46,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:55:46,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:55:47,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,11:58:54,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:58:55,(ARCGIS),IN:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,11:58:55,(ARCGIS),IN:,"VBA",mcuevas@SGH227R9P8,
not_provided,12:03:45,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,12:03:48,(ARCGIS),OUT:,"ARC/INFO",rvrooyen@SGH227R9PD,
not_provided,12:04:23,(ARCGIS),IN:,"ARC/INFO",rvrooyen@SGH227R9PD,
not_provided,13:03:36,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,13:03:39,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
not_provided,13:03:46,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,13:04:06,(ARCGIS),UNSUPPORTED:,"Tracking",mcuevas@SGH227R9P8,License server system does not support this feature. ,
not_provided,13:18:54,(ARCGIS),UNSUPPORTED:,"Tracking",mcuevas@SGH227R9P8,License server system does not support this feature. ,
not_provided,13:19:57,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,13:20:01,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,13:20:09,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,13:20:27,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,13:20:45,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,13:21:25,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,13:22:17,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,13:22:18,(ARCGIS),OUT:,"VBA",rvrooyen@SGH227R9PD,
not_provided,13:22:19,(ARCGIS),UNSUPPORTED:,"Tracking",rvrooyen@SGH227R9PD,License server system does not support this feature. ,
not_provided,13:22:54,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,13:22:58,(ARCGIS),IN:,"VBA",rvrooyen@SGH227R9PD,
not_provided,13:22:58,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,13:24:02,(ARCGIS),IN:,"VBA",rvrooyen@SGH227R9PD,
not_provided,13:24:02,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,13:24:46,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,13:24:46,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,13:24:46,(ARCGIS),OUT:,"Editor",rvrooyen@SGH227R9PD,
not_provided,13:27:46,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,13:27:49,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
not_provided,13:27:55,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,13:28:15,(ARCGIS),UNSUPPORTED:,"Tracking",mcuevas@SGH227R9P8,License server system does not support this feature. ,
not_provided,13:29:53,(ARCGIS),OUT:,"Editor",asawant@SGH227R9PF,
not_provided,13:29:56,(ARCGIS),OUT:,"VBA",asawant@SGH227R9PF,
not_provided,13:30:19,(ARCGIS),UNSUPPORTED:,"Tracking",asawant@SGH227R9PF,License server system does not support this feature. ,
not_provided,13:30:28,(ARCGIS),OUT:,"Editor",asawant@SGH227R9PF,
not_provided,13:32:37,(ARCGIS),IN:,"Editor",rvrooyen@SGH227R9PD,
not_provided,13:32:39,(ARCGIS),OUT:,"ARC/INFO",rvrooyen@SGH227R9PD,
not_provided,13:33:14,(ARCGIS),IN:,"ARC/INFO",rvrooyen@SGH227R9PD,
not_provided,13:33:25,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,13:33:28,(ARCGIS),OUT:,"VBA",mcuevas@SGH227R9P8,
not_provided,13:33:34,(ARCGIS),OUT:,"ARC/INFO",mcuevas@SGH227R9P8,
not_provided,13:33:53,(ARCGIS),UNSUPPORTED:,"Tracking",mcuevas@SGH227R9P8,License server system does not support this feature. ,
not_provided,13:39:18,(ARCGIS),OUT:,"ARC/INFO",mpatel1@SGH227R9P6,
not_provided,13:39:19,(ARCGIS),OUT:,"VBA",mpatel1@SGH227R9P6,
not_provided,13:39:20,(ARCGIS),UNSUPPORTED:,"Tracking",mpatel1@SGH227R9P6,License server system does not support this feature. ,
not_provided,13:45:15,(ARCGIS),IN:,"ARC/INFO",mcuevas@SGH227R9P8,
